Registration,Latitude,Longitude,Altitude,Timestamp,Wind speed,Temperature,Position accuracy,NAV redundancy,TCAS,Mach speed,Vertical speed,ETA
ET-APS,11.270942687988281,59.829139709472656,32000.0 ft,2023-07-08 08:59:47.375,,,<0.25 nm,OK,OK,0.8235,-16.0 ft/min,
ET-APS,11.270942687988281,59.829139709472656,32000.0 ft,2023-07-08 09:59:47.375,,,<0.25 nm,OK,OK,0.8235,-16.0 ft/min,2023-07-08 10:17:48.375
PH-AKF,44.873313903808594,-20.378265380859375,39000.0 ft,2023-07-08 09:07:55.000,54.0 kt,-46.5 C,<0.25 nm,OK,OK,0.7985,16.0 ft/min,2023-07-08 09:10:04.000
EC-NGN,45.173892974853516,-16.016693115234375,40004.0 ft,2023-07-08 09:14:18.125,38.0 kt,-44.0 C,<0.05 nm,OK,OK,0.8555,-16.0 ft/min,2023-07-08 09:29:28.125
F-HMIB,-1.1144256591796875,46.63713455200195,37992.0 ft,2023-07-08 09:16:36.000,,,<0.05 nm,OK,OK,0.8455,16.0 ft/min,
F-HMIB,-0.9731483459472656,46.57670974731445,38000.0 ft,2023-07-08 09:17:40.000,,,<0.05 nm,OK,OK,0.848,0.0 ft/min,
F-HMIB,-0.8474922180175781,46.52315139770508,38000.0 ft,2023-07-08 09:18:37.000,,,<0.05 nm,OK,OK,0.8475,0.0 ft/min,
F-HMIB,-0.583648681640625,46.41071319580078,38000.0 ft,2023-07-08 09:20:37.000,,,<0.05 nm,OK,OK,0.848,0.0 ft/min,
F-HMIB,-0.410614013671875,46.336727142333984,37996.0 ft,2023-07-08 09:21:56.000,,,<0.05 nm,OK,OK,0.8495,-48.0 ft/min,
A6-EQD,66.37046813964844,-14.453544616699219,33000.0 ft,2023-07-08 09:22:00.125,50.0 kt,-48.25 C,<0.25 nm,OK,OK,0.8345,0.0 ft/min,2023-07-08 10:12:03.125
F-HMIB,-0.08050918579101562,46.23149871826172,38020.0 ft,2023-07-08 09:24:24.000,,,<0.05 nm,OK,OK,0.8495,-80.0 ft/min,
F-HMIB,0.18041610717773438,46.11682891845703,38000.0 ft,2023-07-08 09:26:24.000,,,<0.05 nm,OK,OK,0.846,0.0 ft/min,
PH-BVW,45.45541763305664,-18.938369750976562,38000.0 ft,2023-07-08 09:26:29.375,46.0 kt,-42.75 C,<0.25 nm,OK,OK,0.8265,0.0 ft/min,2023-07-08 09:48:07.375
PH-BHA,27.000446319580078,-26.784496307373047,39000.0 ft,2023-07-08 09:28:25.750,24.0 kt,-54.75 C,<0.05 nm,OK,OK,0.841,-16.0 ft/min,2023-07-08 09:53:03.750
TC-JJS,65.3547477722168,-13.09621810913086,33000.0 ft,2023-07-08 09:29:42.125,46.0 kt,-47.75 C,<0.25 nm,OK,OK,0.8295,0.0 ft/min,2023-07-08 09:39:17.125
F-HMIB,0.7232093811035156,45.88062286376953,38000.0 ft,2023-07-08 09:30:33.000,,,<0.05 nm,OK,OK,0.851,-16.0 ft/min,
A7-ANQ,65.3657341003418,-7.480659484863281,36996.0 ft,2023-07-08 09:31:43.000,52.5 kt,-58.5 C,<0.05 nm,OK,OK,0.852,0.0 ft/min,2023-07-08 10:00:27.000
F-HMIB,0.9659385681152344,45.776424407958984,38004.0 ft,2023-07-08 09:32:25.000,,,<0.05 nm,OK,OK,0.8455,0.0 ft/min,
N14016,45.070037841796875,-33.82793426513672,37992.0 ft,2023-07-08 09:35:35.875,55.5 kt,-56.0 C,<0.05 nm,OK,OK,0.847,16.0 ft/min,2023-07-08 09:54:05.875
F-HMIB,1.4886474609375,45.5518913269043,37996.0 ft,2023-07-08 09:36:25.000,,,<0.05 nm,OK,OK,0.8525,16.0 ft/min,
A7-ALU,13.041114807128906,52.0396614074707,37732.0 ft,2023-07-08 09:38:49.000,,,<0.05 nm,OK,OK,0.851,704.0 ft/min,
F-HMIB,2.01873779296875,45.3376579284668,38008.0 ft,2023-07-08 09:40:25.000,,,<0.05 nm,OK,OK,0.851,-64.0 ft/min,
EC-NXD,38.730926513671875,-16.37958526611328,40008.0 ft,2023-07-08 09:40:47.000,49.0 kt,-61.0 C,<0.05 nm,OK,OK,0.849,0.0 ft/min,2023-07-08 09:48:20.000
F-HMIB,2.1893692016601562,45.31929016113281,38012.0 ft,2023-07-08 09:41:38.000,,,<0.05 nm,OK,OK,0.8495,-16.0 ft/min,
G-YMMT,-24.90154266357422,11.473674774169922,37000.0 ft,2023-07-08 09:42:20.875,,,<0.25 nm,OK,OK,0.826,0.0 ft/min,
F-HMIB,2.2997474670410156,45.31465530395508,38008.0 ft,2023-07-08 09:42:25.000,,,<0.05 nm,OK,OK,0.849,0.0 ft/min,
N14016,45.03227233886719,-31.837177276611328,38000.0 ft,2023-07-08 09:45:11.875,71.5 kt,-56.75 C,<0.05 nm,OK,OK,0.849,16.0 ft/min,2023-07-08 09:54:00.875
F-HMIB,2.8643417358398438,45.29182434082031,38004.0 ft,2023-07-08 09:46:26.000,,,<0.05 nm,OK,OK,0.853,32.0 ft/min,
A7-ALU,12.08169937133789,51.43730163574219,38004.0 ft,2023-07-08 09:46:50.000,,,<0.05 nm,OK,OK,0.8495,0.0 ft/min,
F-HMIB,3.146038055419922,45.280494689941406,38004.0 ft,2023-07-08 09:48:26.000,,,<0.05 nm,OK,OK,0.847,0.0 ft/min,
A6-XWF,61.70591354370117,-32.040252685546875,37992.0 ft,2023-07-08 09:48:28.000,58.5 kt,-54.25 C,<0.05 nm,OK,OK,0.844,0.0 ft/min,2023-07-08 10:17:56.000
F-HMIB,3.4258460998535156,45.26933670043945,38000.0 ft,2023-07-08 09:50:26.000,,,<0.05 nm,OK,OK,0.85,16.0 ft/min,
A7-ALU,11.60757064819336,51.141357421875,38000.0 ft,2023-07-08 09:50:50.000,,,<0.05 nm,OK,OK,0.85,0.0 ft/min,
G-YMMT,-26.047210693359375,12.388973236083984,37000.0 ft,2023-07-08 09:51:56.875,,,<0.25 nm,OK,OK,0.8265,16.0 ft/min,
F-HMIB,3.985462188720703,45.24667739868164,38000.0 ft,2023-07-08 09:54:26.000,,,<0.05 nm,OK,OK,0.847,0.0 ft/min,
N14016,44.93940353393555,-29.82461929321289,38000.0 ft,2023-07-08 09:54:47.000,86.5 kt,-57.5 C,<0.05 nm,OK,OK,0.8505,0.0 ft/min,2023-07-08 10:42:10.000
VT-ALK,64.55429077148438,-32.6978874206543,34000.0 ft,2023-07-08 09:55:13.625,60.5 kt,-47.75 C,<0.25 nm,OK,OK,0.8295,0.0 ft/min,2023-07-08 10:21:41.625
F-HMIB,4.548168182373047,45.22401809692383,38004.0 ft,2023-07-08 09:58:27.000,,,<0.05 nm,OK,OK,0.852,0.0 ft/min,
C-FNOE,71.69025421142578,-22.349281311035156,38996.0 ft,2023-07-08 09:59:31.625,18.0 kt,-46.25 C,<0.05 nm,OK,OK,0.852,16.0 ft/min,2023-07-08 10:06:47.625
C-FNOE,71.69025421142578,-22.349281311035156,38996.0 ft,2023-07-08 09:59:31.625,18.0 kt,-46.25 C,<0.05 nm,OK,OK,0.852,16.0 ft/min,2023-07-08 10:06:47.625
F-HMIB,5.102806091308594,45.163936614990234,38000.0 ft,2023-07-08 10:02:28.000,,,<0.05 nm,OK,OK,0.849,0.0 ft/min,
A7-ALU,10.180034637451172,50.25575637817383,37992.0 ft,2023-07-08 10:02:52.000,,,<0.05 nm,OK,OK,0.85,0.0 ft/min,
OH-LTT,68.0379867553711,-23.794498443603516,37000.0 ft,2023-07-08 10:06:07.000,43.5 kt,-53.75 C,<0.25 nm,OK,OK,0.802,-64.0 ft/min,2023-07-08 10:16:43.000
F-HMIB,5.647830963134766,45.033302307128906,38000.0 ft,2023-07-08 10:06:28.000,,,<0.05 nm,OK,OK,0.849,0.0 ft/min,
F-HMIB,6.192340850830078,44.90266799926758,38004.0 ft,2023-07-08 10:10:28.000,,,<0.05 nm,OK,OK,0.848,16.0 ft/min,
