Registration,Latitude,Longitude,Altitude,Timestamp,Wind speed,Temperature,Position accuracy,NAV redundancy,TCAS,Mach speed,Vertical speed,ETA
F-HKYS,0.9403610229492188,45.76972961425781,36000.0 ft,2023-07-08 10:28:34.000,,,<0.25 nm,OK,OK,0.8005,0.0 ft/min,
3B-NCE,3.0435562133789062,49.594173431396484,37988.0 ft,2023-07-08 10:28:44.000,,,<0.05 nm,OK,OK,0.8495,16.0 ft/min,
G-YMMT,-30.850811004638672,15.895500183105469,37000.0 ft,2023-07-08 10:30:21.625,,,<0.25 nm,OK,OK,0.8285,16.0 ft/min,
F-HKYS,1.1971664428710938,45.65935134887695,36000.0 ft,2023-07-08 10:30:35.000,,,<0.25 nm,OK,OK,0.8015,32.0 ft/min,
ET-ATG,10.845565795898438,46.37260437011719,37992.0 ft,2023-07-08 10:31:01.250,,,<0.05 nm,OK,OK,0.8335,0.0 ft/min,
EC-NZF,38.91683578491211,-15.465831756591797,40004.0 ft,2023-07-08 10:32:13.000,49.5 kt,-57.75 C,<0.05 nm,OK,OK,0.8495,-16.0 ft/min,2023-07-08 10:34:46.000
F-HMIB,9.255638122558594,44.18134689331055,38000.0 ft,2023-07-08 10:32:30.000,,,<0.05 nm,OK,OK,0.849,0.0 ft/min,
F-HKYS,1.4520835876464844,45.55000305175781,36000.0 ft,2023-07-08 10:32:34.000,,,<0.25 nm,OK,OK,0.8015,48.0 ft/min,
EC-NBO,43.949432373046875,-31.214218139648438,40000.0 ft,2023-07-08 10:31:57.000,68.5 kt,-60.0 C,<0.05 nm,OK,OK,0.853,-16.0 ft/min,2023-07-08 11:51:19.000
ET-ATG,10.70119857788086,46.11854553222656,38000.0 ft,2023-07-08 10:33:01.250,,,<0.05 nm,OK,OK,0.8315,-16.0 ft/min,
F-HKYS,1.7039108276367188,45.441856384277344,35996.0 ft,2023-07-08 10:34:34.000,,,<0.25 nm,OK,OK,0.8005,0.0 ft/min,
3B-NCE,3.7070274353027344,49.067344665527344,37992.0 ft,2023-07-08 10:34:44.000,,,<0.05 nm,OK,OK,0.8535,16.0 ft/min,
A7-ALU,6.3878631591796875,47.93403625488281,38004.0 ft,2023-07-08 10:34:54.000,,,<0.05 nm,OK,OK,0.839,0.0 ft/min,
F-HMIB,9.79928970336914,43.996639251708984,38000.0 ft,2023-07-08 10:36:30.000,,,<0.05 nm,OK,OK,0.845,0.0 ft/min,
F-HKYS,2.2405242919921875,45.300750732421875,36000.0 ft,2023-07-08 10:38:34.000,,,<0.25 nm,OK,OK,0.8255,0.0 ft/min,
3B-NCE,4.1576385498046875,48.70891571044922,38000.0 ft,2023-07-08 10:38:44.000,,,<0.05 nm,OK,OK,0.8405,0.0 ft/min,
F-HKYS,2.5205039978027344,45.28942108154297,36000.0 ft,2023-07-08 10:40:34.000,,,<0.25 nm,OK,OK,0.82,16.0 ft/min,
3B-NCE,4.380626678466797,48.53090286254883,38004.0 ft,2023-07-08 10:40:44.000,,,<0.05 nm,OK,OK,0.833,96.0 ft/min,
ET-ATG,10.12441635131836,45.105743408203125,38004.0 ft,2023-07-08 10:41:01.125,,,<0.05 nm,OK,OK,0.828,0.0 ft/min,
C-FNOE,67.16440200805664,-11.86746597290039,39000.0 ft,2023-07-08 10:41:07.750,14.5 kt,-48.25 C,<0.05 nm,OK,OK,0.8535,0.0 ft/min,2023-07-08 10:50:55.750
CN-RGZ,36.8671989440918,-19.052352905273438,35996.0 ft,2023-07-08 10:41:34.375,31.0 kt,-52.75 C,<0.05 nm,OK,OK,0.849,0.0 ft/min,2023-07-08 10:47:36.375
F-HMIB,10.58807373046875,43.61898422241211,38008.0 ft,2023-07-08 10:42:31.000,,,<0.05 nm,OK,OK,0.8525,0.0 ft/min,
F-HKYS,2.8004837036132812,45.27809143066406,36000.0 ft,2023-07-08 10:42:35.000,,,<0.25 nm,OK,OK,0.8235,16.0 ft/min,
EC-NTB,39.05588150024414,-14.567699432373047,41004.0 ft,2023-07-08 10:43:29.000,49.5 kt,-59.5 C,<0.05 nm,OK,OK,0.851,0.0 ft/min,2023-07-08 11:26:41.000
G-STBO,61.71621322631836,-15.810527801513672,35000.0 ft,2023-07-08 10:44:37.500,41.5 kt,-52.5 C,<0.25 nm,OK,OK,0.8335,16.0 ft/min,2023-07-08 11:13:49.500
3B-NCE,4.8195648193359375,48.17934036254883,37992.0 ft,2023-07-08 10:44:45.000,,,<0.05 nm,OK,OK,0.841,0.0 ft/min,
3B-NCE,5.0379180908203125,48.00424575805664,37996.0 ft,2023-07-08 10:46:45.000,,,<0.05 nm,OK,OK,0.8505,0.0 ft/min,
ET-ATG,9.690799713134766,44.35009002685547,38000.0 ft,2023-07-08 10:47:01.125,,,<0.05 nm,OK,OK,0.8305,-16.0 ft/min,
A7-ALU,4.740085601806641,46.932735443115234,38004.0 ft,2023-07-08 10:48:56.000,,,<0.05 nm,OK,OK,0.8405,16.0 ft/min,
OH-LTO,76.15653991699219,-1.0030174255371094,41000.0 ft,2023-07-08 10:49:30.000,13.5 kt,-45.0 C,<0.25 nm,OK,OK,0.818,0.0 ft/min,2023-07-08 10:51:39.000
F-HMIB,11.521568298339844,43.10760498046875,38000.0 ft,2023-07-08 10:49:49.000,,,<0.05 nm,OK,OK,0.852,-32.0 ft/min,
EC-NGT,44.04848098754883,-31.27035140991211,41004.0 ft,2023-07-08 10:49:27.000,74.5 kt,-63.25 C,<0.05 nm,OK,OK,0.85,0.0 ft/min,2023-07-08 10:55:45.000
F-HMIB,11.620445251464844,43.072242736816406,38008.0 ft,2023-07-08 10:50:32.000,,,<0.05 nm,OK,OK,0.8545,0.0 ft/min,
N785AV,33.78450393676758,-30.620098114013672,40996.0 ft,2023-07-08 10:50:38.875,7.5 kt,-62.25 C,<0.05 nm,OK,OK,0.842,-16.0 ft/min,2023-07-08 10:54:51.875
